target	regulator	var.exp.median
Col4a4	Nkx2-3	1.0
Gm15774	Meox1	0.9981190000000001
BC106179	Meox1	0.9979979999999999
Tmem11	Evx1	0.987458
1110008P14Rik	Barx2	0.986775
Lrrc66	Meox1	0.972348
Crlf2	Pou2f2	0.97067
Mapk4	Meox1	0.957784
Dmtn	Barx2	0.9746889999999999
Synpr	Barx2	0.9645940000000001
Pcdha11	Sox8	0.9643379999999999
Gm12689	Lhx5	0.9825649999999999
Tmem11	Hoxb8	0.906415
Alg10b	Sox8	0.939774
Mcc	Barx2	0.936773
Reln	Barx2	0.95825
Fbln5	Barx2	0.9281360000000001
6330403N20Rik	Sox8	0.9788629999999999
Gm3252	Sox8	0.916143
4930452B06Rik	Barx2	0.897159
Rpl13	Cic	0.947342
Gm43948	Meox1	0.868883
Tmem11	Cphx1	0.851533
Rpl17	Cic	0.951624
Klhl14	Barx2	0.875367
Ado	Rorb	0.843743
Ubiad1	Msc	0.860456
Gm10475	Lhx5	0.9770530000000001
Bfsp1	Barx2	0.865884
Recql4	Lhx5	0.906639
Rpl3	Cic	0.857825
Grm1	Barx2	0.9756
Rplp2	Cic	0.9435030000000001
Socs7	Rest	0.859691
Nrg1	Barx2	0.8838090000000001
Bcorl1	Wt1	0.794692
Kcnip4	Nfib	0.870423
9330121J05Rik	Nkx6-3	0.813334
Col15a1	Barx2	0.8458709999999999
Cnnm3	Rest	0.830766
Rab3b	Barx2	0.913193
3110039M20Rik	Sox8	0.928951
Ccdc142	Lhx5	0.8500639999999999
Mif	Hoxc9	0.8558370000000001
A730056A06Rik	Six3	0.818427
1700001L19Rik	Barx2	0.7813100000000001
Cers1	Sox8	0.947041
Ninj1	E2f7	0.8461139999999999
Grin3a	Barx2	0.901904
Sox5	Sox8	0.8547870000000001
Rpl8	Elk4	0.836124
Rps13	Cic	0.7586149999999999
Sycp3	Barx2	0.8571290000000001
Tctn1	Lhx5	0.817801
Sgce	Zscan26	0.841743
Sacm1l	Msc	0.817272
Camk2n2	Hoxc9	0.7646430000000001
Rps7	Cic	0.889016
Gap43	Gmeb1	0.849814
Deaf1	Lhx8	0.783105
Rpl21	Cic	0.805913
Plcd3	Barx2	0.814179
Gm16751	Lhx5	0.913831
Clmn	Sox8	0.962672
Spon1	Barx2	0.838332
Plk5	Nfatc3	0.901452
Chrna7	Nkx6-3	0.95965
Rgs10	Vax1	0.830608
Lhx6	Etv2	0.781887
Fbxo27	Nkx6-3	0.808006
Cct7	Sox6	0.793733
Snrpd2	Cic	0.771475
Cmc2	E2f7	0.863535
Rpl28	Cic	0.7396229999999999
Rps17	Cic	0.804193
Kif23	Barx2	0.741167
Rps3	Cic	0.8068489999999999
Tpi1	Esrrg	0.7701399999999999
Pgrmc1	Foxo3	0.823833
Rpl27	Elk4	0.746837
Rpl18	Elk4	0.777855
Rps21	Cic	0.8106439999999999
Syngr3	Homez	0.730309
Nrsn2	Arid5b	0.787405
Prtg	Hmga2	0.813501
Impa2	Nkx6-3	0.731152
Dph7	Tgif2	0.750691
Sox9	Homez	0.76178
Rab43	Dbp	0.7635609999999999
Gpc5	Barx2	0.8300569999999999
Rpl35a	Cic	0.760335
Rpl9	Cic	0.858532
Setmar	Lhx5	0.741032
Dok5	Nfib	0.745421
Srd5a3	Lhx5	0.829574
Rps23	Cic	0.767176
Pdap1	Cic	0.770605
Rps19	Cic	0.7745340000000001
Tubb3	Irf2	0.7926949999999999
C230037L18Rik	Lhx5	0.8525020000000001
Tspan7	Bcl6b	0.852068
Dhx9	Pitx2	0.691084
Rpl23a	Cic	0.841741
Scn9a	Barx2	0.906883
Rpl36	Sox10	0.8013819999999999
Ascl2	Barx2	0.8905430000000001
Rpl36	Cic	0.883075
Klhl1	Gmeb1	0.713079
Hebp1	Neurog2	0.762397
Klk8	Barx2	0.795702
Rps11	Cic	0.740495
Fbln5	Meox1	0.811663
Grm5	Nr2f6	0.7590399999999999
Rpl26	Cic	0.8341850000000001
Iqcc	E2f7	0.8793340000000001
Rpl37	Cic	0.6715840000000001
Gng4	E2f7	0.8889239999999999
Atp5g1	Foxk1	0.826675
Pdyn	Barx2	0.803497
Rps27	Cic	0.799512
Basp1	Hoxc9	0.6513760000000001
Eml3	Sox8	0.8592860000000001
Satb1	Nfatc1	0.7878470000000001
Ddx42	Tef	0.787891
L2hgdh	Sox8	0.7175159999999999
Cacna1s	E2f7	0.745648
Rps18	Cic	0.761145
Rps27a	Cic	0.780505
Deaf1	Barx2	0.8783770000000001
Tmem11	A1JVI6_MOUSE	0.690533
Rps3a1	Cic	0.704621
Tpd52l1	Barx2	0.673095
Car12	E2f7	0.685558
Araf	Foxk1	0.717214
Clmp	Olig3	0.6626340000000001
Lrp1b	Nfib	0.7279479999999999
Cables1	Cic	0.7521439999999999
Erh	Cic	0.723359
Smad3	Nkx6-3	0.6593600000000001
Coch	Barx2	0.692844
Ablim3	Barx2	0.743228
Gm26658	Hmga2	0.7364
Rgs16	Dlx2	0.717446
Rps27a	Elk4	0.729733
Rps12	Cic	0.776795
Rpl34	Cic	0.710394
Camk2n1	Nr4a1	0.647406
Tenm2	Lef1	0.704865
Txnl1	Rxrg	0.682582
Uba52	Cic	0.7146680000000001
Tpbgl	Nkx6-3	0.90381
Tmem11	Cux2	0.9849389999999999
Tmtc4	Bcl6b	0.805207
Eif3f	Cic	0.653066
Rras2	Nkx2-4	0.7211810000000001
Fxyd7	Barx2	0.667331
Dlgap3	Barx2	0.800292
Gm26801	Nkx6-3	0.675589
Igsf3	Dlx2	0.660097
Nmb	Lhx5	0.673625
Acvr2b	Shox2	0.80935
Slc25a13	Meox1	0.693137
Abca6	Vax1	0.6406890000000001
Rpl6	Cic	0.6312220000000001
Taco1	Nfib	0.599187
Snca	Barx2	0.853334
Plppr4	E2f7	0.8602780000000001
Cryl1	Neurog2	0.607346
Lsm5	Rxra	0.624423
Cluh	Ppara	0.743264
Prkcz	Ikzf1	0.64348
Unc13c	Barx2	0.744825
Serpina3n	Nkx2-3	0.788756
Rpl13a	Cic	0.644696
Rps14	Cic	0.688952
Rpl5	Elk4	0.7661479999999999
Palm2	Barx2	0.775034
Cux2	Esrrg	0.6125689999999999
Ubb	Sox4	0.653421
Prkacb	Nfatc1	0.716964
Ndrg3	Sox4	0.724713
Rps25	Cic	0.6603220000000001
AV099323	Vax1	0.660809
Adamts20	Sox18	0.706803
Gpc5	Meox1	0.678241
Rpl18a	Zfp57	0.592626
Rpl37a	Cic	0.641439
Dmtn	Esr2	0.6162890000000001
Rpl38	Cic	0.7164149999999999
Nudt6	Hif1a	0.6581640000000001
mt-Nd5	Uncx	0.6378119999999999
Parp11	Sox8	0.647035
Rps28	Cic	0.66079
Egfl7	Barx2	0.7225060000000001
Fam43a	Neurog1	0.680579
Arhgdig	Barx2	0.669184
Klhl11	Sox8	0.820739
Fndc9	Barx2	0.855448
Ppp3r2	Barx2	0.713335
Gas7	Irf1	0.784378
Tnfsf9	Hbp1	0.5836359999999999
Eif3k	Elk4	0.858786
Gm2449	E2f7	0.639596
Mlf1	Barx2	0.6601319999999999
Slc25a13	Barx2	0.702194
Plppr1	Nkx2-4	0.617767
Camk2n1	Zbtb1	0.613413
Cox7c	Esrrg	0.7424109999999999
Tsc22d1	Tbx4	0.630314
Rps26-ps1	Cic	0.744239
Crip2	Barx2	0.763493
Rab36	Pou4f3	0.6982619999999999
Gsk3a	Hnf4a	0.653246
Rab3a	Esrrg	0.74312
Pik3r2	Foxa1	0.601349
Usp4	Sox2	0.592842
Nkx2-1	Vax1	0.759893
Rps6	Cic	0.640663
Hey1	Barx2	0.642469
Rps16	Cic	0.689715
Sumo2	Nfya	0.729761
Cox7a2	Foxk1	0.830456
Gm11508	Pknox2	0.6517609999999999
Hspe1	Elk4	0.662246
Tomm6os	Nkx2-3	0.674158
Smdt1	Prdm11	0.7967569999999999
Nudcd1	Hoxc8	0.795772
Lrrc56	Prdm5	0.553229
Plekhj1	Barx2	0.6817979999999999
Kcnd2	Gmeb1	0.676793
Iqsec1	Arid3b	0.619692
A730017C20Rik	Ppara	0.662246
Lsamp	Nfib	0.641349
Pgam5	Etv3	0.660072
Med21	Prdm11	0.631995
Cald1	Arnt2	0.672508
Ptprr	Homez	0.6917810000000001
Mrps33	Spic	0.6299640000000001
Tspan17	Barx2	0.7261310000000001
Ccdc158	Barx2	0.6283449999999999
Rpl28	Elk4	0.6264270000000001
Lmo1	Shox2	0.7409399999999999
Nf1	Gmeb1	0.598542
Rnls	Sox8	0.6024
Mfap5	Vax1	0.643764
H1fx	Nfya	0.742929
Tm4sf5	Barx2	0.721174
Fbxo36	Cux1	0.5646180000000001
Cenpi	Barx2	0.6197050000000001
Gm4889	Sox6	0.690194
Bex1	Hoxc9	0.584575
Penk	Barx2	0.619372
Rps3	Elk4	0.7175560000000001
Mrpl30	Rxrg	0.690237
Slc22a23	Hoxb4	0.584542
Rpl23	Arntl	0.586765
Atp5k	Foxk1	0.688805
Hspe1	Hoxa1	0.652749
Mpc1	Spic	0.8647440000000001
Nox4	Lhx5	0.8194610000000001
Rps5	Cic	0.6619149999999999
Cst6	Barx2	0.718067
Rps26	Elk1	0.588929
Gm6133	Cic	0.646463
Id2	Vax1	0.6292760000000001
Aldh6a1	Ctcfl	0.6612439999999999
Dstyk	Lhx5	0.656371
Tnrc6a	Tfap2a	0.532926
Smarce1	Dmrtb1	0.7901189999999999
Eif5a2	Barx2	0.5406770000000001
Camk1g	Cux1	0.552612
Lrrc8a	Nhlh1	0.610422
Smn1	Sox4	0.577653
Sema5a	Nfib	0.675077
Tnfsf13os	Nkx6-3	0.530039
Nnat	Sox6	0.641752
Atp5f1	Elk4	0.531671
Thyn1	Elk4	0.548747
Cuta	Clock	0.554171
Grb2	Cic	0.62567
Bhlhe41	Nkx6-3	0.66284
Tdrd5	Barx2	0.723326
Lrrc27	Foxl2	0.5526800000000001
Txnrd3	Pdx1	0.6883100000000001
Cnot6l	Lhx5	0.7769050000000001
Cox6b1	Mlxip	0.578041
Syn1	Jdp2	0.597518
Gm10260	Cic	0.658799
Gm26542	Zfp57	0.597895
P2rx2	Zbtb14	0.566923
Utp6	Neurog2	0.514699
Rpl19	Cic	0.676153
Plppr1	Hic1	0.653165
Ndufb6	Hand1	0.778231
Pde10a	Mafg	0.6140770000000001
Polr3gl	Foxl1	0.625851
Cort	Esrrg	0.535822
Cd47	Elk1	0.611688
A930024N18Rik	Lhx5	0.63115
Rpl6	Evx1	0.679052
Bend6	Lhx6	0.6151310000000001
Naca	Elk4	0.5490079999999999
Cox8a	Nfib	0.5459189999999999
Acot10	Barx2	0.5138689999999999
Btbd2	Sox4	0.604342
Snx22	Vax1	0.556762
Sobp	Lef1	0.6271479999999999
Atcayos	Vax1	0.628545
Fau	Cic	0.751553
Pfkp	Homez	0.6463220000000001
Zcrb1	Trp73	0.5579430000000001
Tmtc2	Homez	0.543946
Ppargc1a	Etv2	0.524179
2010015M23Rik	Lhx5	0.634155
Clrn1	Rorb	0.542225
Dars	Ar	0.68203
Gm7008	Nfatc3	0.524353
Hebp2	Homez	0.675036
Cntnap5a	Nfib	0.6049180000000001
Sdf2l1	Arnt2	0.538687
Arhgap6	Esrrg	0.656219
Tdg	Gabpa	0.553027
Tox2	Uncx	0.6291680000000001
Capn10	Foxj3	0.590377
Rps26	Cic	0.56682
Dmrtc1a	Meox1	0.585651
Btaf1	Zfp711	0.615811
Abhd14a	Esr2	0.56139
Engase	Irf5	0.535315
Mcm8	Lhx5	0.803003
Gm11808	Mnt	0.48971899999999996
Gapdh	Hes2	0.6633680000000001
D130040H23Rik	Nkx6-3	0.564553
Car2	Vax1	0.582108
Yipf7	Hmga2	0.670265
Tmem108	Stat2	0.484991
Scand1	Hoxc9	0.627236
Hdgf	Hinfp	0.662049
Pgpep1	Rorb	0.777327
Rpl10a	Cic	0.595276
Rpl31	Cic	0.592536
Rps20	Cic	0.6251329999999999
Ppfibp2	Fosb	0.555254
Psmb5	Hand1	0.5346810000000001
2900026A02Rik	Barx2	0.487491
Rps6	Foxk1	0.605771
Rps8	Cic	0.677435
Mif	Mlxip	0.481893
